model,adj_r2,significant_vars,formula
weather_to_Severity_Temperature(F),0.00036187628285466733,2,"Severity ~ (Q(""Temperature(F)""))**2"
weather_to_Severity_WindChill(F),0.0017091134527557061,2,"Severity ~ (Q(""WindChill(F)""))**2"
weather_to_Severity_Humidity(%),0.0014167506343542025,2,"Severity ~ (Q(""Humidity(%)""))**2"
weather_to_Severity_Pressure(in),7.30952770731097e-05,2,"Severity ~ (Q(""Pressure(in)""))**2"
weather_to_Severity_WindSpeed(mph),4.987891252805632e-06,1,"Severity ~ (Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Precipitation(in),6.713458908658154e-05,2,"Severity ~ (Q(""Precipitation(in)""))**2"
weather_to_Severity_weather_good,9.952462774953652e-05,2,Severity ~ (weather_good)**2
weather_to_Severity_weather_bad,5.203905597295222e-05,2,Severity ~ (weather_bad)**2
weather_to_Severity_weather_neutral,-3.3536809360690256e-06,1,Severity ~ (weather_neutral)**2
weather_to_Severity_weather_unknown,0.00029908697937386375,2,Severity ~ (weather_unknown)**2
weather_to_Severity_Temperature(F)_WindChill(F),0.0057010571613883565,4,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_Humidity(%),0.005507909503788766,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_Pressure(in),0.0007069385060111122,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_WindSpeed(mph),0.0007063229740407184,4,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_Precipitation(in),0.00041285809312707755,2,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_weather_good,0.0012111507344239048,3,"Severity ~ (Q(""Temperature(F)"") + weather_good)**2"
weather_to_Severity_Temperature(F)_weather_bad,0.0009547114952510594,4,"Severity ~ (Q(""Temperature(F)"") + weather_bad)**2"
weather_to_Severity_Temperature(F)_weather_neutral,0.00035892608655641034,2,"Severity ~ (Q(""Temperature(F)"") + weather_neutral)**2"
weather_to_Severity_Temperature(F)_weather_unknown,0.0006558785372120512,4,"Severity ~ (Q(""Temperature(F)"") + weather_unknown)**2"
weather_to_Severity_WindChill(F)_Temperature(F),0.005701057161388801,4,"Severity ~ (Q(""WindChill(F)"") + Q(""Temperature(F)""))**2"
weather_to_Severity_WindChill(F)_Humidity(%),0.009619528002170363,4,"Severity ~ (Q(""WindChill(F)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_WindChill(F)_Pressure(in),0.007635255597193025,4,"Severity ~ (Q(""WindChill(F)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_WindChill(F)_WindSpeed(mph),0.0020718742804715085,4,"Severity ~ (Q(""WindChill(F)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_WindChill(F)_Precipitation(in),0.0002584941864132162,2,"Severity ~ (Q(""WindChill(F)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_WindChill(F)_weather_good,0.0040000247652401955,4,"Severity ~ (Q(""WindChill(F)"") + weather_good)**2"
weather_to_Severity_WindChill(F)_weather_bad,0.003113392935765402,4,"Severity ~ (Q(""WindChill(F)"") + weather_bad)**2"
weather_to_Severity_WindChill(F)_weather_neutral,0.0018556006982090034,4,"Severity ~ (Q(""WindChill(F)"") + weather_neutral)**2"
weather_to_Severity_WindChill(F)_weather_unknown,0.0019646809738350646,4,"Severity ~ (Q(""WindChill(F)"") + weather_unknown)**2"
weather_to_Severity_Humidity(%)_Temperature(F),0.005507909503788766,4,"Severity ~ (Q(""Humidity(%)"") + Q(""Temperature(F)""))**2"
weather_to_Severity_Humidity(%)_WindChill(F),0.009619528002170363,4,"Severity ~ (Q(""Humidity(%)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Humidity(%)_Pressure(in),0.0015563827450624235,4,"Severity ~ (Q(""Humidity(%)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Humidity(%)_WindSpeed(mph),0.0007660478532880433,2,"Severity ~ (Q(""Humidity(%)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Humidity(%)_Precipitation(in),0.0033463593714593287,2,"Severity ~ (Q(""Humidity(%)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_Humidity(%)_weather_good,0.0015913772886793076,3,"Severity ~ (Q(""Humidity(%)"") + weather_good)**2"
weather_to_Severity_Humidity(%)_weather_bad,0.0014907773240507849,2,"Severity ~ (Q(""Humidity(%)"") + weather_bad)**2"
weather_to_Severity_Humidity(%)_weather_neutral,0.0016369685405702716,4,"Severity ~ (Q(""Humidity(%)"") + weather_neutral)**2"
weather_to_Severity_Humidity(%)_weather_unknown,0.0016801387733764717,4,"Severity ~ (Q(""Humidity(%)"") + weather_unknown)**2"
weather_to_Severity_Pressure(in)_Temperature(F),0.0007069385060111122,4,"Severity ~ (Q(""Pressure(in)"") + Q(""Temperature(F)""))**2"
weather_to_Severity_Pressure(in)_WindChill(F),0.007635255597193025,4,"Severity ~ (Q(""Pressure(in)"") + Q(""WindChill(F)""))**2"
