Column,Missing_Percentage
ID,0.0
Severity,0.0
Start_Lat,0.0
Start_Lng,0.0
StartTime,0.08647609896709105
EndTime,0.08647609896709105
Distance(mi),0.0
DelayFromTypicalTraffic(mins),0.0
DelayFromFreeFlowSpeed(mins),0.0
Congestion_Speed,0.0
Description,0.0
Street,0.0054047561854431905
City,0.006605813115541676
County,0.0
State,0.0
Country,0.0
ZipCode,0.06425654576026903
LocalTimeZone,0.08647609896709105
WeatherStation_AirportCode,0.16274321402834493
WeatherTimeStamp,1.6244294979582032
Temperature(F),2.2087436944511167
WindChill(F),37.86271919288974
Humidity(%),2.321643045880375
Pressure(in),2.0568099927936583
Visibility(mi),2.941388421811194
WindDir,2.366682680759068
WindSpeed(mph),9.449915926014892
Precipitation(in),41.195051645448
Weather_Event,93.5341100168148
Weather_Conditions,2.852510208983906
