Column,Missing_Percentage
ID,0.0
Severity,0.0
Start_Lat,0.0
Start_Lng,0.0
StartTime,0.08911794255255646
EndTime,0.08911794255255646
Distance(mi),0.0
DelayFromTypicalTraffic(mins),0.0
DelayFromFreeFlowSpeed(mins),0.0
Congestion_Speed,0.0
Description,0.0
Street,0.004684096710983426
City,0.00666582993486103
County,0.0
State,0.0
Country,0.0
ZipCode,0.06593766908538208
LocalTimeZone,0.08911794255255646
WeatherStation_AirportCode,0.1632828071431274
WeatherTimeStamp,1.6143919471970185
Temperature(F),2.1991834058067186
WindChill(F),37.95547585918644
Humidity(%),2.3085991007735363
Pressure(in),2.0581200317797945
Visibility(mi),2.928941652369162
WindDir,2.3762782929950537
WindSpeed(mph),9.511718949393138
Precipitation(in),41.22851846224708
Weather_Event,93.55840618204681
Weather_Conditions,2.852314634379228
